[ 2026-01-15 16:30:30,398 ] 54 datasets - INFO - PyTorch version 2.9.1 available.
[ 2026-01-15 16:30:42,696 ] 219 sentence_transformers.SentenceTransformer - INFO - Use pytorch device_name: cpu
[ 2026-01-15 16:30:42,697 ] 227 sentence_transformers.SentenceTransformer - INFO - Load pretrained SentenceTransformer: paraphrase-MiniLM-L3-v2
[ 2026-01-15 16:30:45,770 ] 1729 huggingface_hub.file_download - WARNING - Xet Storage is enabled for this repo, but the 'hf_xet' package is not installed. Falling back to regular HTTP download. For better performance, install the package with: `pip install huggingface_hub[hf_xet]` or `pip install hf_xet`
[ 2026-01-15 16:33:03,240 ] 86 vectorstore_ingestion.full_ingestion_pipeline - INFO - --- STARTING PROCESSING: Adani ESG Factbook.pdf ---
[ 2026-01-15 16:33:03,619 ] 131 vectorstore_ingestion.report_data_extraction - INFO - [Safety Net] Actual pages: 26. Processing up to: 26
[ 2026-01-15 16:33:03,620 ] 148 vectorstore_ingestion.report_data_extraction - INFO - Dispatching 6 batches to LLMWhisperer...
[ 2026-01-15 16:33:03,626 ] 127 unstract.llmwhisperer.client_v2 - DEBUG - logging_level set to DEBUG
[ 2026-01-15 16:33:03,627 ] 132 unstract.llmwhisperer.client_v2 - DEBUG - base_url set to https://llmwhisperer-api.us-central.unstract.com/api/v2
[ 2026-01-15 16:33:03,628 ] 289 unstract.llmwhisperer.client_v2 - DEBUG - whisper called
[ 2026-01-15 16:33:03,629 ] 312 unstract.llmwhisperer.client_v2 - DEBUG - api_url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper
[ 2026-01-15 16:33:03,629 ] 313 unstract.llmwhisperer.client_v2 - DEBUG - params: {'mode': 'high_quality', 'output_mode': 'layout_preserving', 'page_seperator': '<<<', 'pages_to_extract': '1-5', 'median_filter_size': 0, 'gaussian_blur_radius': 0, 'line_splitter_tolerance': 0.4, 'horizontal_stretch_factor': 1.0, 'mark_vertical_lines': False, 'mark_horizontal_lines': False, 'line_spitter_strategy': 'left-priority', 'add_line_nos': False, 'include_line_confidence': False, 'lang': 'eng', 'tag': 'default', 'filename': '', 'webhook_metadata': '', 'use_webhook': ''}
[ 2026-01-15 16:33:07,035 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:33:07,036 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:33:07,431 ] 389 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:81c4c3c5|0d966c3b317b53f187308d1b1056b09e | STATUS: accepted...
[ 2026-01-15 16:33:12,433 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:33:12,433 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:33:12,808 ] 389 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:81c4c3c5|0d966c3b317b53f187308d1b1056b09e | STATUS: accepted...
[ 2026-01-15 16:33:17,809 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:33:17,810 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:33:18,176 ] 389 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:81c4c3c5|0d966c3b317b53f187308d1b1056b09e | STATUS: accepted...
[ 2026-01-15 16:33:23,177 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:33:23,178 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:33:23,549 ] 389 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:81c4c3c5|0d966c3b317b53f187308d1b1056b09e | STATUS: accepted...
[ 2026-01-15 16:33:28,550 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:33:28,551 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:33:28,932 ] 389 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:81c4c3c5|0d966c3b317b53f187308d1b1056b09e | STATUS: accepted...
[ 2026-01-15 16:33:33,933 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:33:33,934 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:33:34,325 ] 389 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:81c4c3c5|0d966c3b317b53f187308d1b1056b09e | STATUS: accepted...
[ 2026-01-15 16:33:39,326 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:33:39,327 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:33:39,713 ] 391 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:81c4c3c5|0d966c3b317b53f187308d1b1056b09e | STATUS: processing...
[ 2026-01-15 16:33:44,714 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:33:44,715 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:33:45,078 ] 391 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:81c4c3c5|0d966c3b317b53f187308d1b1056b09e | STATUS: processing...
[ 2026-01-15 16:33:50,079 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:33:50,080 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:33:50,447 ] 391 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:81c4c3c5|0d966c3b317b53f187308d1b1056b09e | STATUS: processing...
[ 2026-01-15 16:33:55,448 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:33:55,449 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:33:55,820 ] 391 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:81c4c3c5|0d966c3b317b53f187308d1b1056b09e | STATUS: processing...
[ 2026-01-15 16:34:00,821 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:34:00,822 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:34:01,185 ] 391 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:81c4c3c5|0d966c3b317b53f187308d1b1056b09e | STATUS: processing...
[ 2026-01-15 16:34:06,185 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:34:06,186 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:34:06,593 ] 411 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:81c4c3c5|0d966c3b317b53f187308d1b1056b09e | STATUS: processed!
[ 2026-01-15 16:34:06,594 ] 500 unstract.llmwhisperer.client_v2 - DEBUG - whisper_retrieve called
[ 2026-01-15 16:34:06,594 ] 503 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-retrieve
[ 2026-01-15 16:34:08,510 ] 127 unstract.llmwhisperer.client_v2 - DEBUG - logging_level set to DEBUG
[ 2026-01-15 16:34:08,511 ] 132 unstract.llmwhisperer.client_v2 - DEBUG - base_url set to https://llmwhisperer-api.us-central.unstract.com/api/v2
[ 2026-01-15 16:34:08,511 ] 289 unstract.llmwhisperer.client_v2 - DEBUG - whisper called
[ 2026-01-15 16:34:08,512 ] 312 unstract.llmwhisperer.client_v2 - DEBUG - api_url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper
[ 2026-01-15 16:34:08,512 ] 313 unstract.llmwhisperer.client_v2 - DEBUG - params: {'mode': 'high_quality', 'output_mode': 'layout_preserving', 'page_seperator': '<<<', 'pages_to_extract': '6-10', 'median_filter_size': 0, 'gaussian_blur_radius': 0, 'line_splitter_tolerance': 0.4, 'horizontal_stretch_factor': 1.0, 'mark_vertical_lines': False, 'mark_horizontal_lines': False, 'line_spitter_strategy': 'left-priority', 'add_line_nos': False, 'include_line_confidence': False, 'lang': 'eng', 'tag': 'default', 'filename': '', 'webhook_metadata': '', 'use_webhook': ''}
[ 2026-01-15 16:34:11,418 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:34:11,419 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:34:11,843 ] 389 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:97315a01|0d966c3b317b53f187308d1b1056b09e | STATUS: accepted...
[ 2026-01-15 16:34:16,844 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:34:16,845 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:34:17,241 ] 389 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:97315a01|0d966c3b317b53f187308d1b1056b09e | STATUS: accepted...
[ 2026-01-15 16:34:22,242 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:34:22,242 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:34:22,629 ] 389 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:97315a01|0d966c3b317b53f187308d1b1056b09e | STATUS: accepted...
[ 2026-01-15 16:34:27,630 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:34:27,630 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:34:28,010 ] 389 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:97315a01|0d966c3b317b53f187308d1b1056b09e | STATUS: accepted...
[ 2026-01-15 16:34:33,011 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:34:33,012 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:34:33,404 ] 389 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:97315a01|0d966c3b317b53f187308d1b1056b09e | STATUS: accepted...
[ 2026-01-15 16:34:38,405 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:34:38,406 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:34:38,794 ] 389 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:97315a01|0d966c3b317b53f187308d1b1056b09e | STATUS: accepted...
[ 2026-01-15 16:34:43,795 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:34:43,796 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:34:44,176 ] 391 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:97315a01|0d966c3b317b53f187308d1b1056b09e | STATUS: processing...
[ 2026-01-15 16:34:49,177 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:34:49,178 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:34:49,582 ] 391 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:97315a01|0d966c3b317b53f187308d1b1056b09e | STATUS: processing...
[ 2026-01-15 16:34:54,583 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:34:54,583 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:34:54,993 ] 411 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:97315a01|0d966c3b317b53f187308d1b1056b09e | STATUS: processed!
[ 2026-01-15 16:34:54,994 ] 500 unstract.llmwhisperer.client_v2 - DEBUG - whisper_retrieve called
[ 2026-01-15 16:34:54,994 ] 503 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-retrieve
[ 2026-01-15 16:34:56,890 ] 127 unstract.llmwhisperer.client_v2 - DEBUG - logging_level set to DEBUG
[ 2026-01-15 16:34:56,891 ] 132 unstract.llmwhisperer.client_v2 - DEBUG - base_url set to https://llmwhisperer-api.us-central.unstract.com/api/v2
[ 2026-01-15 16:34:56,891 ] 289 unstract.llmwhisperer.client_v2 - DEBUG - whisper called
[ 2026-01-15 16:34:56,892 ] 312 unstract.llmwhisperer.client_v2 - DEBUG - api_url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper
[ 2026-01-15 16:34:56,893 ] 313 unstract.llmwhisperer.client_v2 - DEBUG - params: {'mode': 'high_quality', 'output_mode': 'layout_preserving', 'page_seperator': '<<<', 'pages_to_extract': '11-15', 'median_filter_size': 0, 'gaussian_blur_radius': 0, 'line_splitter_tolerance': 0.4, 'horizontal_stretch_factor': 1.0, 'mark_vertical_lines': False, 'mark_horizontal_lines': False, 'line_spitter_strategy': 'left-priority', 'add_line_nos': False, 'include_line_confidence': False, 'lang': 'eng', 'tag': 'default', 'filename': '', 'webhook_metadata': '', 'use_webhook': ''}
[ 2026-01-15 16:34:59,833 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:34:59,834 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:35:00,208 ] 389 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:c949b989|0d966c3b317b53f187308d1b1056b09e | STATUS: accepted...
[ 2026-01-15 16:35:05,209 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:35:05,210 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:35:05,568 ] 391 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:c949b989|0d966c3b317b53f187308d1b1056b09e | STATUS: processing...
[ 2026-01-15 16:35:10,570 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:35:10,570 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:35:10,937 ] 411 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:c949b989|0d966c3b317b53f187308d1b1056b09e | STATUS: processed!
[ 2026-01-15 16:35:10,937 ] 500 unstract.llmwhisperer.client_v2 - DEBUG - whisper_retrieve called
[ 2026-01-15 16:35:10,938 ] 503 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-retrieve
[ 2026-01-15 16:35:12,863 ] 127 unstract.llmwhisperer.client_v2 - DEBUG - logging_level set to DEBUG
[ 2026-01-15 16:35:12,864 ] 132 unstract.llmwhisperer.client_v2 - DEBUG - base_url set to https://llmwhisperer-api.us-central.unstract.com/api/v2
[ 2026-01-15 16:35:12,864 ] 289 unstract.llmwhisperer.client_v2 - DEBUG - whisper called
[ 2026-01-15 16:35:12,865 ] 312 unstract.llmwhisperer.client_v2 - DEBUG - api_url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper
[ 2026-01-15 16:35:12,865 ] 313 unstract.llmwhisperer.client_v2 - DEBUG - params: {'mode': 'high_quality', 'output_mode': 'layout_preserving', 'page_seperator': '<<<', 'pages_to_extract': '16-20', 'median_filter_size': 0, 'gaussian_blur_radius': 0, 'line_splitter_tolerance': 0.4, 'horizontal_stretch_factor': 1.0, 'mark_vertical_lines': False, 'mark_horizontal_lines': False, 'line_spitter_strategy': 'left-priority', 'add_line_nos': False, 'include_line_confidence': False, 'lang': 'eng', 'tag': 'default', 'filename': '', 'webhook_metadata': '', 'use_webhook': ''}
[ 2026-01-15 16:35:15,590 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:35:15,591 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:35:15,961 ] 389 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:2575189d|0d966c3b317b53f187308d1b1056b09e | STATUS: accepted...
[ 2026-01-15 16:35:20,962 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:35:20,963 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:35:21,355 ] 389 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:2575189d|0d966c3b317b53f187308d1b1056b09e | STATUS: accepted...
[ 2026-01-15 16:35:26,355 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
[ 2026-01-15 16:35:26,356 ] 457 unstract.llmwhisperer.client_v2 - DEBUG - url: https://llmwhisperer-api.us-central.unstract.com/api/v2/whisper-status
[ 2026-01-15 16:35:26,742 ] 389 unstract.llmwhisperer.client_v2 - DEBUG - Whisper-hash:2575189d|0d966c3b317b53f187308d1b1056b09e | STATUS: accepted...
[ 2026-01-15 16:35:31,743 ] 454 unstract.llmwhisperer.client_v2 - DEBUG - whisper_status called
